Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0
Sample Interval,0.0002
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.980e-02,2.64
-4.960e-02,2.64
-4.940e-02,2.64
-4.920e-02,2.64
-4.900e-02,2.72
-4.880e-02,2.72
-4.860e-02,2.72
-4.840e-02,2.72
-4.820e-02,2.72
-4.800e-02,2.72
-4.780e-02,2.8
-4.760e-02,2.72
-4.740e-02,2.72
-4.720e-02,2.8
-4.700e-02,2.8
-4.680e-02,2.8
-4.660e-02,2.88
-4.640e-02,2.88
-4.620e-02,2.8
-4.600e-02,2.88
-4.580e-02,2.88
-4.560e-02,2.88
-4.540e-02,2.8
-4.520e-02,2.8
-4.500e-02,2.72
-4.480e-02,2.8
-4.460e-02,2.8
-4.440e-02,2.8
-4.420e-02,2.8
-4.400e-02,2.72
-4.380e-02,2.72
-4.360e-02,2.72
-4.340e-02,2.64
-4.320e-02,2.72
-4.300e-02,2.72
-4.280e-02,2.72
-4.260e-02,2.72
-4.240e-02,2.72
-4.220e-02,2.72
-4.200e-02,2.72
-4.180e-02,2.72
-4.160e-02,2.72
-4.140e-02,2.72
-4.120e-02,2.64
-4.100e-02,2.64
-4.080e-02,2.72
-4.060e-02,2.64
-4.040e-02,2.72
-4.020e-02,2.72
-4.000e-02,2.8
-3.980e-02,2.72
-3.960e-02,2.8
-3.940e-02,2.8
-3.920e-02,2.8
-3.900e-02,2.8
-3.880e-02,2.8
-3.860e-02,2.88
-3.840e-02,2.88
-3.820e-02,2.88
-3.800e-02,2.88
-3.780e-02,2.88
-3.760e-02,2.8
-3.740e-02,2.8
-3.720e-02,2.88
-3.700e-02,2.8
-3.680e-02,2.88
-3.660e-02,2.8
-3.640e-02,2.8
-3.620e-02,2.8
-3.600e-02,2.8
-3.580e-02,2.88
-3.560e-02,2.8
-3.540e-02,2.8
-3.520e-02,2.64
-3.500e-02,2.72
-3.480e-02,2.72
-3.460e-02,2.64
-3.440e-02,2.64
-3.420e-02,2.72
-3.400e-02,2.8
-3.380e-02,2.72
-3.360e-02,2.64
-3.340e-02,2.72
-3.320e-02,2.64
-3.300e-02,2.64
-3.280e-02,2.64
-3.260e-02,2.64
-3.240e-02,2.72
-3.220e-02,2.72
-3.200e-02,2.8
-3.180e-02,2.8
-3.160e-02,2.8
-3.140e-02,2.8
-3.120e-02,2.8
-3.100e-02,2.8
-3.080e-02,2.88
-3.060e-02,2.88
-3.040e-02,2.88
-3.020e-02,2.88
-3.000e-02,2.88
-2.980e-02,2.88
-2.960e-02,2.8
-2.940e-02,2.88
-2.920e-02,2.96
-2.900e-02,2.88
-2.880e-02,2.96
-2.860e-02,2.8
-2.840e-02,2.88
-2.820e-02,2.88
-2.800e-02,2.88
-2.780e-02,2.88
-2.760e-02,2.88
-2.740e-02,2.8
-2.720e-02,2.8
-2.700e-02,2.72
-2.680e-02,2.8
-2.660e-02,2.72
-2.640e-02,2.72
-2.620e-02,2.72
-2.600e-02,2.72
-2.580e-02,2.8
-2.560e-02,2.72
-2.540e-02,2.72
-2.520e-02,2.72
-2.500e-02,2.72
