Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0001
Horizontal Delay,0
Sample Interval,1e-06
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,5
Vertical Position,0
,
,
,
Label,
TIME,CH1
-3.57e-04,4.4
-3.56e-04,4.6
-3.55e-04,4.6
-3.54e-04,4.6
-3.53e-04,4.6
-3.52e-04,4.4
-3.51e-04,4.6
-3.50e-04,4.6
-3.49e-04,4.6
-3.48e-04,4.4
-3.47e-04,4.4
-3.46e-04,4.6
-3.45e-04,4.4
-3.44e-04,4.4
-3.43e-04,4.4
-3.42e-04,4.6
-3.41e-04,4.6
-3.40e-04,4.6
-3.39e-04,4.4
-3.38e-04,4.6
-3.37e-04,4.4
-3.36e-04,4.4
-3.35e-04,4.6
-3.34e-04,4.6
-3.33e-04,4.6
-3.32e-04,4.6
-3.31e-04,4.4
-3.30e-04,4.6
-3.29e-04,4.6
-3.28e-04,4.6
-3.27e-04,4.6
-3.26e-04,4.6
-3.25e-04,4.6
-3.24e-04,4.6
-3.23e-04,4.6
-3.22e-04,4.4
-3.21e-04,4.6
-3.20e-04,4.6
-3.19e-04,4.6
-3.18e-04,4.6
-3.17e-04,4.6
-3.16e-04,4.6
-3.15e-04,4.6
-3.14e-04,4.8
-3.13e-04,4.4
-3.12e-04,4.6
-3.11e-04,4.4
-3.10e-04,4.6
-3.09e-04,4.4
-3.08e-04,4.4
-3.07e-04,4.4
-3.06e-04,4.4
-3.05e-04,4.6
-3.04e-04,4.6
-3.03e-04,4.6
-3.02e-04,4.6
-3.01e-04,4.4
-3.00e-04,4.4
-2.99e-04,4.6
-2.98e-04,4.4
-2.97e-04,4.4
-2.96e-04,4.6
-2.95e-04,4.6
-2.94e-04,4.6
-2.93e-04,4.4
-2.92e-04,4.4
-2.91e-04,4.6
-2.90e-04,4.6
-2.89e-04,4.4
-2.88e-04,4.6
-2.87e-04,4.6
-2.86e-04,4.6
-2.85e-04,4.4
-2.84e-04,4.6
-2.83e-04,4.4
-2.82e-04,4.4
-2.81e-04,4.6
-2.80e-04,4.6
-2.79e-04,4.6
-2.78e-04,4.6
-2.77e-04,4.4
-2.76e-04,4.6
-2.75e-04,4.6
-2.74e-04,4.4
-2.73e-04,4.4
-2.72e-04,4.6
-2.71e-04,4.6
-2.70e-04,4.6
-2.69e-04,4.6
-2.68e-04,4.6
-2.67e-04,4.4
-2.66e-04,4.6
-2.65e-04,4.6
-2.64e-04,4.6
-2.63e-04,4.6
-2.62e-04,4.6
-2.61e-04,4.6
-2.60e-04,4.6
-2.59e-04,4.4
-2.58e-04,4.6
-2.57e-04,4.6
-2.56e-04,4.6
-2.55e-04,4.4
-2.54e-04,4.6
-2.53e-04,4.4
-2.52e-04,4.6
-2.51e-04,4.6
-2.50e-04,4.4
-2.49e-04,4.6
-2.48e-04,4.6
-2.47e-04,4.4
-2.46e-04,4.4
