Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2
Horizontal Delay,0
Sample Interval,0.02
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
-4.980e+00,3.74
-4.960e+00,3.78
-4.940e+00,3.78
-4.920e+00,3.78
-4.900e+00,3.78
-4.880e+00,3.78
-4.860e+00,3.78
-4.840e+00,3.74
-4.820e+00,3.74
-4.800e+00,3.74
-4.780e+00,3.78
-4.760e+00,3.78
-4.740e+00,3.78
-4.720e+00,3.74
-4.700e+00,3.74
-4.680e+00,3.74
-4.660e+00,3.78
-4.640e+00,3.78
-4.620e+00,3.78
-4.600e+00,3.78
-4.580e+00,3.74
-4.560e+00,3.78
-4.540e+00,3.78
-4.520e+00,3.78
-4.500e+00,3.78
-4.480e+00,3.78
-4.460e+00,3.78
-4.440e+00,3.78
-4.420e+00,3.78
-4.400e+00,3.82
-4.380e+00,3.78
-4.360e+00,3.78
-4.340e+00,3.78
-4.320e+00,3.78
-4.300e+00,3.78
-4.280e+00,3.74
-4.260e+00,3.78
-4.240e+00,3.78
-4.220e+00,3.78
-4.200e+00,3.78
-4.180e+00,3.74
-4.160e+00,3.78
-4.140e+00,3.82
-4.120e+00,3.78
-4.100e+00,3.78
-4.080e+00,3.78
-4.060e+00,3.82
-4.040e+00,3.78
-4.020e+00,3.78
-4.000e+00,3.74
-3.980e+00,3.78
-3.960e+00,3.78
-3.940e+00,3.78
-3.920e+00,3.78
-3.900e+00,3.74
-3.880e+00,3.74
-3.860e+00,3.7
-3.840e+00,3.78
-3.820e+00,3.74
-3.800e+00,3.74
-3.780e+00,3.74
-3.760e+00,3.78
-3.740e+00,3.74
-3.720e+00,3.74
-3.700e+00,3.74
-3.680e+00,3.78
-3.660e+00,3.78
-3.640e+00,3.74
-3.620e+00,3.78
-3.600e+00,3.78
-3.580e+00,3.74
-3.560e+00,3.74
-3.540e+00,3.78
-3.520e+00,3.74
-3.500e+00,3.78
-3.480e+00,3.78
-3.460e+00,3.78
-3.440e+00,3.74
-3.420e+00,3.78
-3.400e+00,3.78
-3.380e+00,3.74
-3.360e+00,3.74
-3.340e+00,3.78
-3.320e+00,3.78
-3.300e+00,3.78
-3.280e+00,3.78
-3.260e+00,3.78
-3.240e+00,3.78
-3.220e+00,3.78
-3.200e+00,3.78
-3.180e+00,3.78
-3.160e+00,3.78
-3.140e+00,3.74
-3.120e+00,3.74
-3.100e+00,3.74
-3.080e+00,3.78
-3.060e+00,3.82
-3.040e+00,3.78
-3.020e+00,3.82
-3.000e+00,3.74
-2.980e+00,3.78
-2.960e+00,3.74
-2.940e+00,3.78
-2.920e+00,3.78
-2.900e+00,3.74
-2.880e+00,3.78
-2.860e+00,3.74
-2.840e+00,3.78
-2.820e+00,3.82
-2.800e+00,3.74
-2.780e+00,3.74
-2.760e+00,3.82
-2.740e+00,3.74
-2.720e+00,3.78
-2.700e+00,3.78
-2.680e+00,3.74
-2.660e+00,3.78
-2.640e+00,3.74
-2.620e+00,3.78
-2.600e+00,3.78
-2.580e+00,3.74
-2.560e+00,3.82
-2.540e+00,3.78
-2.520e+00,3.78
-2.500e+00,3.74
-2.480e+00,3.74
-2.460e+00,3.78
-2.440e+00,3.78
-2.420e+00,3.82
-2.400e+00,3.78
-2.380e+00,3.78
-2.360e+00,3.74
-2.340e+00,3.74
-2.320e+00,3.78
-2.300e+00,3.78
-2.280e+00,3.78
-2.260e+00,3.78
-2.240e+00,3.78
-2.220e+00,3.78
-2.200e+00,3.74
-2.180e+00,3.78
-2.160e+00,3.74
-2.140e+00,3.78
-2.120e+00,3.78
-2.100e+00,3.82
-2.080e+00,3.74
-2.060e+00,3.78
-2.040e+00,3.74
-2.020e+00,3.78
-2.000e+00,3.74
-1.980e+00,3.78
-1.960e+00,3.78
-1.940e+00,3.78
-1.920e+00,3.78
-1.900e+00,3.78
-1.880e+00,3.78
-1.860e+00,3.82
-1.840e+00,3.82
-1.820e+00,3.82
-1.800e+00,3.78
-1.780e+00,3.78
-1.760e+00,3.78
-1.740e+00,3.78
-1.720e+00,3.78
-1.700e+00,3.82
-1.680e+00,3.82
-1.660e+00,3.74
-1.640e+00,3.78
-1.620e+00,3.78
-1.600e+00,3.78
-1.580e+00,3.78
-1.560e+00,3.78
-1.540e+00,3.82
-1.520e+00,3.78
-1.500e+00,3.78
-1.480e+00,3.78
-1.460e+00,3.78
-1.440e+00,3.74
-1.420e+00,3.78
-1.400e+00,3.78
-1.380e+00,3.78
-1.360e+00,3.82
-1.340e+00,3.74
-1.320e+00,3.74
-1.300e+00,3.82
-1.280e+00,3.78
-1.260e+00,3.78
-1.240e+00,3.74
-1.220e+00,3.74
-1.200e+00,3.74
-1.180e+00,3.78
-1.160e+00,3.78
-1.140e+00,3.78
-1.120e+00,3.74
-1.100e+00,3.74
-1.080e+00,3.74
-1.060e+00,3.74
-1.040e+00,3.78
-1.020e+00,3.74
-1.000e+00,3.78
-9.800e-01,3.74
-9.600e-01,3.78
-9.400e-01,3.74
-9.200e-01,3.78
-9.000e-01,3.78
-8.800e-01,3.74
-8.600e-01,3.74
-8.400e-01,3.74
-8.200e-01,3.74
-8.000e-01,3.78
-7.800e-01,3.78
-7.600e-01,3.78
-7.400e-01,3.74
-7.200e-01,3.74
-7.000e-01,3.78
-6.800e-01,3.74
-6.600e-01,3.78
-6.400e-01,3.78
-6.200e-01,3.78
-6.000e-01,3.74
-5.800e-01,3.78
-5.600e-01,3.74
-5.400e-01,3.74
-5.200e-01,3.78
-5.000e-01,3.74
-4.800e-01,3.78
-4.600e-01,3.78
-4.400e-01,3.74
-4.200e-01,3.74
-4.000e-01,3.78
-3.800e-01,3.74
-3.600e-01,3.78
-3.400e-01,3.78
-3.200e-01,3.78
-3.000e-01,3.74
-2.800e-01,3.78
-2.600e-01,3.78
-2.400e-01,3.74
-2.200e-01,3.74
-2.000e-01,3.74
-1.800e-01,3.78
-1.600e-01,3.74
-1.400e-01,3.78
-1.200e-01,3.74
-1.000e-01,3.74
-8.000e-02,3.74
-6.000e-02,3.78
-4.000e-02,3.74
-2.000e-02,3.78
-1.250e-13,3.78
2.000e-02,3.78
4.000e-02,3.82
6.000e-02,3.74
8.000e-02,3.74
1.000e-01,3.74
1.200e-01,3.78
1.400e-01,3.78
1.600e-01,3.74
1.800e-01,3.78
2.000e-01,3.78
2.200e-01,3.78
2.400e-01,3.78
2.600e-01,3.78
2.800e-01,3.78
3.000e-01,3.74
3.200e-01,3.78
3.400e-01,3.78
3.600e-01,3.82
3.800e-01,3.78
4.000e-01,3.78
4.200e-01,3.78
4.400e-01,3.74
4.600e-01,3.78
4.800e-01,3.78
5.000e-01,3.78
5.200e-01,3.78
5.400e-01,3.78
5.600e-01,3.74
5.800e-01,3.78
6.000e-01,3.78
6.200e-01,3.78
6.400e-01,3.74
6.600e-01,3.78
6.800e-01,3.78
7.000e-01,3.78
7.200e-01,3.74
7.400e-01,3.78
7.600e-01,3.74
7.800e-01,3.74
8.000e-01,3.78
8.200e-01,3.74
8.400e-01,3.74
8.600e-01,3.78
8.800e-01,3.74
9.000e-01,3.74
9.200e-01,3.74
9.400e-01,3.74
9.600e-01,3.74
9.800e-01,3.74
1.000e+00,3.78
1.020e+00,3.74
1.040e+00,3.74
1.060e+00,3.74
1.080e+00,3.74
1.100e+00,3.74
1.120e+00,3.74
1.140e+00,3.78
1.160e+00,3.74
1.180e+00,3.7
1.200e+00,3.74
1.220e+00,3.78
1.240e+00,3.78
1.260e+00,3.74
1.280e+00,3.74
1.300e+00,3.74
1.320e+00,3.74
1.340e+00,3.74
1.360e+00,3.74
1.380e+00,3.7
1.400e+00,3.74
1.420e+00,3.74
1.440e+00,3.7
1.460e+00,3.7
1.480e+00,3.74
1.500e+00,3.74
1.520e+00,3.74
1.540e+00,3.74
1.560e+00,3.74
1.580e+00,3.74
1.600e+00,3.74
1.620e+00,3.74
1.640e+00,3.74
1.660e+00,3.74
1.680e+00,3.78
1.700e+00,3.74
1.720e+00,3.74
1.740e+00,3.78
1.760e+00,3.74
1.780e+00,3.78
1.800e+00,3.74
1.820e+00,3.78
1.840e+00,3.74
1.860e+00,3.74
1.880e+00,3.74
1.900e+00,3.78
1.920e+00,3.78
1.940e+00,3.78
1.960e+00,3.74
1.980e+00,3.74
2.000e+00,3.74
2.020e+00,3.78
2.040e+00,3.78
2.060e+00,3.74
