Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,4e-05
Sample Interval,0.0001
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
-5.00e-02,3.7
-4.99e-02,3.7
-4.98e-02,3.7
-4.97e-02,3.7
-4.96e-02,3.7
-4.95e-02,3.7
-4.94e-02,3.7
-4.93e-02,3.74
-4.92e-02,3.74
-4.91e-02,3.7
-4.90e-02,3.7
-4.89e-02,3.7
-4.88e-02,3.74
-4.87e-02,3.7
-4.86e-02,3.7
-4.85e-02,3.7
-4.84e-02,3.74
-4.83e-02,3.7
-4.82e-02,3.7
-4.81e-02,3.7
-4.80e-02,3.66
-4.79e-02,3.7
-4.78e-02,3.7
-4.77e-02,3.7
-4.76e-02,3.7
-4.75e-02,3.7
-4.74e-02,3.7
-4.73e-02,3.7
-4.72e-02,3.7
-4.71e-02,3.7
-4.70e-02,3.74
-4.69e-02,3.7
-4.68e-02,3.7
-4.67e-02,3.7
-4.66e-02,3.7
-4.65e-02,3.7
-4.64e-02,3.7
-4.63e-02,3.7
-4.62e-02,3.7
-4.61e-02,3.74
-4.60e-02,3.74
-4.59e-02,3.66
-4.58e-02,3.7
-4.57e-02,3.7
-4.56e-02,3.7
-4.55e-02,3.7
-4.54e-02,3.7
-4.53e-02,3.74
-4.52e-02,3.7
-4.51e-02,3.66
-4.50e-02,3.74
-4.49e-02,3.7
-4.48e-02,3.7
-4.47e-02,3.7
-4.46e-02,3.74
-4.45e-02,3.7
-4.44e-02,3.7
-4.43e-02,3.7
-4.42e-02,3.74
-4.41e-02,3.7
-4.40e-02,3.7
-4.39e-02,3.74
-4.38e-02,3.7
-4.37e-02,3.7
-4.36e-02,3.74
-4.35e-02,3.7
-4.34e-02,3.74
-4.33e-02,3.7
-4.32e-02,3.7
-4.31e-02,3.7
-4.30e-02,3.7
-4.29e-02,3.7
-4.28e-02,3.7
-4.27e-02,3.66
-4.26e-02,3.7
-4.25e-02,3.74
-4.24e-02,3.7
-4.23e-02,3.7
-4.22e-02,3.74
-4.21e-02,3.7
-4.20e-02,3.7
-4.19e-02,3.7
-4.18e-02,3.66
-4.17e-02,3.7
-4.16e-02,3.7
-4.15e-02,3.7
-4.14e-02,3.7
-4.13e-02,3.7
-4.12e-02,3.7
-4.11e-02,3.7
-4.10e-02,3.7
-4.09e-02,3.7
-4.08e-02,3.74
-4.07e-02,3.7
-4.06e-02,3.7
-4.05e-02,3.7
-4.04e-02,3.7
-4.03e-02,3.74
-4.02e-02,3.66
-4.01e-02,3.66
-4.00e-02,3.66
-3.99e-02,3.7
-3.98e-02,3.7
-3.97e-02,3.7
-3.96e-02,3.7
-3.95e-02,3.74
-3.94e-02,3.74
-3.93e-02,3.7
-3.92e-02,3.7
-3.91e-02,3.7
-3.90e-02,3.74
-3.89e-02,3.74
-3.88e-02,3.74
-3.87e-02,3.74
-3.86e-02,3.66
-3.85e-02,3.7
-3.84e-02,3.7
-3.83e-02,3.74
-3.82e-02,3.7
-3.81e-02,3.74
-3.80e-02,3.7
-3.79e-02,3.7
-3.78e-02,3.7
-3.77e-02,3.7
-3.76e-02,3.7
-3.75e-02,3.66
-3.74e-02,3.7
-3.73e-02,3.7
-3.72e-02,3.7
-3.71e-02,3.74
-3.70e-02,3.7
-3.69e-02,3.7
-3.68e-02,3.7
-3.67e-02,3.7
-3.66e-02,3.7
-3.65e-02,3.7
-3.64e-02,3.7
-3.63e-02,3.7
-3.62e-02,3.7
-3.61e-02,3.74
-3.60e-02,3.74
-3.59e-02,3.74
