Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,-2.58
,
,
,
Label,
TIME,CH1
-2.000e+00,3.74
-1.996e+00,3.74
-1.992e+00,3.78
-1.988e+00,3.74
-1.984e+00,3.74
-1.980e+00,3.74
-1.976e+00,3.78
-1.972e+00,3.74
-1.968e+00,3.78
-1.964e+00,3.78
-1.960e+00,3.74
-1.956e+00,3.74
-1.952e+00,3.74
-1.948e+00,3.74
-1.944e+00,3.74
-1.940e+00,3.74
-1.936e+00,3.74
-1.932e+00,3.74
-1.928e+00,3.74
-1.924e+00,3.74
-1.920e+00,3.74
-1.916e+00,3.78
-1.912e+00,3.74
-1.908e+00,3.78
-1.904e+00,3.78
-1.900e+00,3.78
-1.896e+00,3.74
-1.892e+00,3.74
-1.888e+00,3.78
-1.884e+00,3.74
-1.880e+00,3.74
-1.876e+00,3.78
-1.872e+00,3.74
-1.868e+00,3.78
-1.864e+00,3.74
-1.860e+00,3.74
-1.856e+00,3.74
-1.852e+00,3.78
-1.848e+00,3.74
-1.844e+00,3.74
-1.840e+00,3.74
-1.836e+00,3.74
-1.832e+00,3.74
-1.828e+00,3.74
-1.824e+00,3.74
-1.820e+00,3.74
-1.816e+00,3.74
-1.812e+00,3.74
-1.808e+00,3.74
-1.804e+00,3.78
-1.800e+00,3.78
-1.796e+00,3.74
-1.792e+00,3.78
-1.788e+00,3.74
-1.784e+00,3.74
-1.780e+00,3.78
-1.776e+00,3.74
-1.772e+00,3.74
-1.768e+00,3.74
-1.764e+00,3.78
-1.760e+00,3.78
-1.756e+00,3.78
-1.752e+00,3.74
-1.748e+00,3.74
-1.744e+00,3.74
-1.740e+00,3.78
-1.736e+00,3.78
-1.732e+00,3.78
-1.728e+00,3.74
-1.724e+00,3.74
-1.720e+00,3.78
-1.716e+00,3.78
-1.712e+00,3.74
-1.708e+00,3.74
-1.704e+00,3.74
-1.700e+00,3.74
-1.696e+00,3.74
-1.692e+00,3.78
-1.688e+00,3.82
-1.684e+00,3.74
-1.680e+00,3.74
-1.676e+00,3.74
-1.672e+00,3.78
-1.668e+00,3.78
-1.664e+00,3.78
-1.660e+00,3.74
-1.656e+00,3.74
-1.652e+00,3.74
-1.648e+00,3.78
-1.644e+00,3.78
-1.640e+00,3.74
-1.636e+00,3.74
-1.632e+00,3.74
-1.628e+00,3.78
-1.624e+00,3.74
-1.620e+00,3.74
-1.616e+00,3.74
-1.612e+00,3.74
-1.608e+00,3.74
-1.604e+00,3.78
-1.600e+00,3.7
-1.596e+00,3.74
-1.592e+00,3.74
-1.588e+00,3.74
-1.584e+00,3.74
-1.580e+00,3.78
-1.576e+00,3.74
-1.572e+00,3.78
-1.568e+00,3.74
-1.564e+00,3.7
-1.560e+00,3.74
-1.556e+00,3.78
-1.552e+00,3.74
-1.548e+00,3.74
-1.544e+00,3.74
-1.540e+00,3.74
-1.536e+00,3.7
-1.532e+00,3.7
-1.528e+00,3.74
-1.524e+00,3.74
-1.520e+00,3.74
-1.516e+00,3.74
-1.512e+00,3.74
-1.508e+00,3.78
-1.504e+00,3.74
-1.500e+00,3.74
-1.496e+00,3.74
-1.492e+00,3.74
-1.488e+00,3.74
-1.484e+00,3.78
-1.480e+00,3.74
-1.476e+00,3.74
-1.472e+00,3.74
-1.468e+00,3.74
-1.464e+00,3.74
-1.460e+00,3.7
-1.456e+00,3.74
-1.452e+00,3.74
-1.448e+00,3.74
-1.444e+00,3.74
-1.440e+00,3.74
-1.436e+00,3.74
-1.432e+00,3.7
