Model,MDO34
Firmware Version,1.19.13

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.004
Horizontal Delay,0
Sample Interval,4e-05
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-9.960e-03,1.04
-9.920e-03,1.08
-9.880e-03,1.12
-9.840e-03,1.12
-9.800e-03,1.08
-9.760e-03,1.08
-9.720e-03,1.12
-9.680e-03,1.08
-9.640e-03,1.08
-9.600e-03,1.12
-9.560e-03,1.12
-9.520e-03,1.12
-9.480e-03,1.08
-9.440e-03,1.08
-9.400e-03,1.08
-9.360e-03,1.08
-9.320e-03,1.04
-9.280e-03,1.08
-9.240e-03,1.08
-9.200e-03,1.12
-9.160e-03,1.08
-9.120e-03,1.12
-9.080e-03,1.08
-9.040e-03,1.12
-9.000e-03,1.12
-8.960e-03,1.04
-8.920e-03,1.12
-8.880e-03,1.12
-8.840e-03,1.08
-8.800e-03,1.08
-8.760e-03,1.12
-8.720e-03,1.08
-8.680e-03,1.08
-8.640e-03,1.12
-8.600e-03,1.12
-8.560e-03,1.08
-8.520e-03,1.12
-8.480e-03,1.12
-8.440e-03,1.08
-8.400e-03,1.08
-8.360e-03,1.08
-8.320e-03,1.12
-8.280e-03,1.08
-8.240e-03,1.12
-8.200e-03,1.08
-8.160e-03,1.08
-8.120e-03,1.08
-8.080e-03,1.08
-8.040e-03,1.12
-8.000e-03,1.12
-7.960e-03,1.12
-7.920e-03,1.08
-7.880e-03,1.08
-7.840e-03,1.08
-7.800e-03,1.12
-7.760e-03,1.12
-7.720e-03,1.12
-7.680e-03,1.08
-7.640e-03,1.08
-7.600e-03,1.12
-7.560e-03,1.12
-7.520e-03,1.12
-7.480e-03,1.04
-7.440e-03,1.08
-7.400e-03,1.08
-7.360e-03,1.12
-7.320e-03,1.08
-7.280e-03,1.08
-7.240e-03,1.08
-7.200e-03,1.08
-7.160e-03,1.12
-7.120e-03,1.08
-7.080e-03,1.12
-7.040e-03,1.16
-7.000e-03,1.08
-6.960e-03,1.08
-6.920e-03,1.08
-6.880e-03,1.12
-6.840e-03,1.12
-6.800e-03,1.12
-6.760e-03,1.12
-6.720e-03,1.12
-6.680e-03,1.08
-6.640e-03,1.12
-6.600e-03,1.12
-6.560e-03,1.12
-6.520e-03,1.12
-6.480e-03,1.04
-6.440e-03,1.08
-6.400e-03,1.16
-6.360e-03,1.08
-6.320e-03,1.08
-6.280e-03,1.12
-6.240e-03,1.08
-6.200e-03,1.04
-6.160e-03,1.08
-6.120e-03,1.08
-6.080e-03,1.08
-6.040e-03,1.08
-6.000e-03,1.08
-5.960e-03,1.12
-5.920e-03,1.08
-5.880e-03,1.12
-5.840e-03,1.08
-5.800e-03,1.08
-5.760e-03,1.12
-5.720e-03,1.12
-5.680e-03,1.12
-5.640e-03,1.08
-5.600e-03,1.08
-5.560e-03,1.12
-5.520e-03,1.08
-5.480e-03,1.12
-5.440e-03,1.16
-5.400e-03,1.12
-5.360e-03,1.12
-5.320e-03,1.12
-5.280e-03,1.08
-5.240e-03,1.08
-5.200e-03,1.12
-5.160e-03,1.12
-5.120e-03,1.12
-5.080e-03,1.08
-5.040e-03,1.12
-5.000e-03,1.12
-4.960e-03,1.12
-4.920e-03,1.12
-4.880e-03,1.08
-4.840e-03,1.08
-4.800e-03,1.12
-4.760e-03,1.12
-4.720e-03,1.12
-4.680e-03,1.08
-4.640e-03,1.12
-4.600e-03,1.08
-4.560e-03,1.12
-4.520e-03,1.08
-4.480e-03,1.08
-4.440e-03,1.12
-4.400e-03,1.08
-4.360e-03,1.12
-4.320e-03,1.08
-4.280e-03,1.12
-4.240e-03,1.08
-4.200e-03,1.12
-4.160e-03,1.08
-4.120e-03,1.12
-4.080e-03,1.12
-4.040e-03,1.08
-4.000e-03,1.12
-3.960e-03,1.08
-3.920e-03,1.08
-3.880e-03,1.12
-3.840e-03,1.08
-3.800e-03,1.08
-3.760e-03,1.12
-3.720e-03,1.12
-3.680e-03,1.08
-3.640e-03,1.12
-3.600e-03,1.08
-3.560e-03,1.08
-3.520e-03,1.08
-3.480e-03,1.08
-3.440e-03,1.08
-3.400e-03,1.08
-3.360e-03,1.08
-3.320e-03,1.08
-3.280e-03,1.08
-3.240e-03,1.12
-3.200e-03,1.12
-3.160e-03,1.08
-3.120e-03,1.12
-3.080e-03,1.08
-3.040e-03,1.08
-3.000e-03,1.08
-2.960e-03,1.08
-2.920e-03,1.12
-2.880e-03,1.12
-2.840e-03,1.12
-2.800e-03,1.08
-2.760e-03,1.08
-2.720e-03,1.08
-2.680e-03,1.12
-2.640e-03,1.08
-2.600e-03,1.04
-2.560e-03,1.12
-2.520e-03,1.12
-2.480e-03,1.12
-2.440e-03,1.12
-2.400e-03,1.08
-2.360e-03,1.12
-2.320e-03,1.08
-2.280e-03,1.12
-2.240e-03,1.12
-2.200e-03,1.12
-2.160e-03,1.08
-2.120e-03,1.08
-2.080e-03,1.08
-2.040e-03,1.08
-2.000e-03,1.08
-1.960e-03,1.12
-1.920e-03,1.12
-1.880e-03,1.12
-1.840e-03,1.08
-1.800e-03,1.08
-1.760e-03,1.08
-1.720e-03,1.08
-1.680e-03,1.12
-1.640e-03,1.12
-1.600e-03,1.12
-1.560e-03,1.08
-1.520e-03,1.08
-1.480e-03,1.12
-1.440e-03,1.12
-1.400e-03,1.08
-1.360e-03,1.04
-1.320e-03,1.08
-1.280e-03,1.12
-1.240e-03,1.08
-1.200e-03,1.12
-1.160e-03,1.08
-1.120e-03,1.12
-1.080e-03,1.08
-1.040e-03,1.08
-1.000e-03,1.08
-9.600e-04,1.08
-9.200e-04,1.12
-8.800e-04,1.12
-8.400e-04,1.08
-8.000e-04,1.08
-7.600e-04,1.08
-7.200e-04,1.08
-6.800e-04,1.12
-6.400e-04,1.08
-6.000e-04,1.08
-5.600e-04,1.08
-5.200e-04,1.12
-4.800e-04,1.04
-4.400e-04,1.12
-4.000e-04,1.12
-3.600e-04,1.12
-3.200e-04,1.08
-2.800e-04,1.12
-2.400e-04,1.12
-2.000e-04,1.12
-1.600e-04,1.12
-1.200e-04,1.08
-8.000e-05,1.08
-4.000e-05,1.08
-0.000e+00,1.12
4.000e-05,1.08
8.000e-05,1.12
1.200e-04,1.08
1.600e-04,1.12
2.000e-04,1.08
2.400e-04,1.08
2.800e-04,1.08
3.200e-04,1.08
3.600e-04,1.12
4.000e-04,1.08
4.400e-04,1.12
4.800e-04,1.08
5.200e-04,1.12
5.600e-04,1.12
6.000e-04,1.08
6.400e-04,1.08
6.800e-04,1.08
7.200e-04,1.12
7.600e-04,1.08
